Celex	Celex	NNP
or	or	CC
sexual	sexual	JJ
exploitation	exploitation	NN
,	,	,
which	which	WDT
the	the	DT
Member	Member	NNP
States	States	NNP
must	must	MD
make	make	VB
punishable	punishable	NN
by	by	IN
virtue	virtue	NN
of	of	IN
that	that	DT
framework	framework	JJ
decision	decision	NN
.	.	.
TITLE	title	NNP
II	II	NNP
FREEDOMS	freedom	NNP
13	@card@	CD
)	)	)
Right	right	NNP
to	to	NNP
liberty	liberty	NN
and	and	CC
security	security	NN
Everyone	Everyone	NNP
has	have	VBZ
the	the	DT
right	right	NN
to	to	TO
liberty	liberty	NN
and	and	CC
security	security	NN
of	of	IN
person	person	NN
.	.	.
Explanation	explanation	NNP
The	the	DT
rights	right	NNS
in	in	IN
Article 6(	Article 6(	NNP
13	@card@	CD
)	)	)
are	be	VBP
the	the	DT
rights	right	NNS
guaranteed	guarantee	VBN
by	by	IN
Article 5	Article 5	NNP
of	of	IN
the	the	DT
ECHR	ECHR	NNP
,	,	,
and	and	CC
in	in	IN
accordance	accordance	NN
with	with	IN
Article 52(3	Article 52(3	CD
)	)	NN
of	of	IN
the	the	DT
Charter(	Charter(	NNP
14	@card@	CD
)	)	)
,	,	,
they	they	PRP
have	have	VBP
the	the	DT
same	same	JJ
meaning	meaning	NN
and	and	CC
scope	scope	NN
.	.	.
Consequently	consequently	RB
,	,	,
the	the	DT
limitations	limitation	NNS
which	which	WDT
may	may	MD
legitimately	legitimately	RB
be	be	VB
imposed	impose	VBN
on	on	IN
them	them	PRP
may	may	MD
not	not	RB
exceed	exceed	VB
those	those	DT
permitted	permit	VBN
by	by	IN
the	the	DT
ECHR	ECHR	NNP
,	,	,
in	in	IN
the	the	DT
wording	wording	NN
of	of	IN
Article 5	Article 5	CD
:	:	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	NN
1.	@ord@	CD
(	(	(
a	a	NN
)	)	)
the	the	DT
lawful	lawful	JJ
detention	detention	NN
of	of	IN
a	a	DT
person	person	NN
after	after	IN
conviction	conviction	NN
by	by	IN
a	a	DT
competent	competent	JJ
court	court	NN
;	;	:
(	(	(
b	b	NN
)	)	)
the	the	DT
lawful	lawful	NN
arrest	arrest	NN
or	or	CC
detention	detention	NN
of	of	IN
a	a	DT
person	person	NN
for	for	IN
non-compliance	non-compliance	NN
with	with	IN
the	the	DT
lawful	lawful	JJ
order	order	NN
of	of	IN
a	a	DT
court	court	NN
or	or	NN
in	in	IN
order	order	NN
to	to	TO
secure	secure	VB
the	the	DT
fulfilment	fulfilment	NN
of	of	IN
any	any	DT
obligation	obligation	NN
prescribed	prescribe	JJ
by	by	NN
law	law	NN
;	;	NN
(	(	(
c	c	NN
)	)	)
the	the	DT
lawful	lawful	NN
arrest	arrest	NN
or	or	CC
detention	detention	NN
of	of	IN
a	a	DT
person	person	NN
effected	effect	VBN
for	for	IN
the	the	DT
purpose	purpose	NN
of	of	IN
bringing	bring	VBG
him	him	PRP
before	before	IN
the	the	DT
competent	competent	JJ
legal	legal	JJ
authority	authority	NN
on	on	IN
reasonable	reasonable	JJ
suspicion	suspicion	NN
of	of	IN
having	have	VBG
committed	commit	VBN
an	an	DT
offence	offence	NN
or	or	CC
when	when	WRB
it	it	PRP
is	be	VBZ
reasonably	reasonably	RB
considered	consider	VBN
necessary	necessary	NN
to	to	TO
prevent	prevent	VB
his	his	PRP$
committing	commit	NN
an	an	DT
offence	offence	NN
or	or	CC
fleeing	flee	NN
after	after	IN
having	have	VBG
done	do	VBN
so	so	RB
;	;	JJ
(	(	(
d	d	NN
)	)	)
the	the	DT
detention	detention	NN
of	of	IN
a	a	DT
minor	minor	JJ
by	by	IN
lawful	lawful	JJ
order	order	NN
for	for	IN
the	the	DT
purpose	purpose	NN
of	of	IN
educational	educational	JJ
supervision	supervision	NN
or	or	CC
his	his	PRP$
lawful	lawful	NN
detention	detention	NN
for	for	IN
the	the	DT
purpose	purpose	NN
of	of	IN
bringing	bring	VBG
him	him	PRP
before	before	IN
the	the	DT
competent	competent	JJ
legal	legal	JJ
authority	authority	NN
;	;	:
(	(	(
e	e	NN
)	)	)
the	the	DT
lawful	lawful	JJ
detention	detention	NN
of	of	IN
persons	person	NNS
for	for	IN
the	the	DT
prevention	prevention	NN
of	of	IN
the	the	DT
spreading	spread	NN
of	of	IN
infectious	infectious	JJ
diseases	disease	NNS
,	,	,
of	of	IN
persons	person	NNS
of	of	IN
unsound	unsound	JJ
mind	mind	NN
,	,	,
alcoholics	alcoholic	NNS
or	or	CC
drug	drug	NN
addicts	addict	NNS
or	or	CC
vagrants	vagrant	NNS
;	;	:
(	(	(
f	f	NN
)	)	)
the	the	DT
lawful	lawful	NN
arrest	arrest	NN
or	or	CC
detention	detention	NN
of	of	IN
a	a	DT
person	person	NN
to	to	TO
prevent	prevent	VB
his	his	PRP$
effecting	effect	NN
an	an	DT
unauthorised	unauthorised	JJ
entry	entry	NN
into	into	IN
the	the	DT
country	country	NN
or	or	NN
of	of	IN
a	a	DT
person	person	NN
against	against	IN
whom	whom	WP
action	action	NN
is	be	VBZ
being	being	VBG
taken	take	VBN
with	with	IN
a	a	DT
view	view	NN
to	to	NN
deportation	deportation	NN
or	or	CC
extradition	extradition	NN
.	.	.
2.	@ord@	CD
Everyone	Everyone	NN
who	who	WP
is	be	VBZ
arrested	arrest	VBN
shall	shall	MD
be	be	VB
informed	inform	VBN
promptly	promptly	RB
,	,	VBN
in	in	IN
a	a	DT
language	language	NN
which	which	WDT
he	he	PRP
understands	understand	VBZ
,	,	,
of	of	IN
the	the	DT
reasons	reason	NNS
for	for	IN
his	his	PRP$
arrest	arrest	NN
and	and	CC
of	of	IN
any	any	DT
charge	charge	NN
against	against	IN
him	him	PRP
.	.	.
3.	@ord@	CD
Everyone	Everyone	NN
arrested	arrest	VBN
or	or	CC
detained	detain	VBN
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
provisions	provision	NNS
of	of	IN
paragraph 1(c	paragraph 1(c	CD
)	)	NN
of	of	IN
this	this	DT
Article	Article	NN
shall	shall	MD
be	be	VB
brought	bring	VBN
promptly	promptly	RB
before	before	IN
a	a	DT
judge	judge	NN
or	or	CC
other	other	JJ
officer	officer	NN
authorised	authorize	VBN
by	by	IN
law	law	NN
to	to	TO
exercise	exercise	VB
judicial	judicial	JJ
power	power	NN
and	and	CC
shall	shall	MD
be	be	VB
entitled	entitle	VBN
to	to	TO
trial	trial	VB
within	within	IN
a	a	DT
reasonable	reasonable	JJ
time	time	NN
or	or	CC
to	to	TO
release	release	VB
pending	pend	JJ
trial	trial	NN
.	.	.
Release	release	NNP
may	may	MD
be	be	VB
conditioned	condition	VBN
by	by	IN
guarantees	guarantee	NNS
to	to	TO
appear	appear	VB
for	for	IN
trial	trial	NN
.	.	.
4.	@ord@	CD
Everyone	Everyone	NN
who	who	WP
is	be	VBZ
deprived	deprive	VBN
of	of	IN
his	his	PRP$
liberty	liberty	NN
by	by	IN
arrest	arrest	NN
or	or	CC
detention	detention	NN
shall	shall	MD
be	be	VB
entitled	entitle	VBN
to	to	TO
take	take	VB
proceedings	proceeding	NNS
by	by	IN
which	which	WDT
the	the	DT
lawfulness	lawfulness	NN
of	of	IN
his	his	PRP$
detention	detention	NN
shall	shall	MD
be	be	VB
decided	decide	VBN
speedily	speedily	RB
by	by	IN
a	a	DT
court	court	NN
and	and	CC
his	his	PRP$
release	release	NN
ordered	order	VBN
if	if	IN
the	the	DT
detention	detention	NN
is	be	VBZ
not	not	RB
lawful	lawful	JJ
.	.	.
5.	@ord@	CD
Everyone	Everyone	NN
who	who	WP
has	have	VBZ
been	be	VBN
the	the	DT
victim	victim	NN
of	of	IN
arrest	arrest	NN
or	or	CC
detention	detention	NN
in	in	IN
contravention	contravention	NN
of	of	IN
the	the	DT
provisions	provision	NNS
of	of	IN
this	this	DT
Article	Article	NN
shall	shall	MD
have	have	VB
an	an	DT
enforceable	enforceable	JJ
right	right	NN
to	to	TO
compensation.	compensation.	VB
&amp; amp; amp	&amp; amp; amp	NN
;	;	:
#x2019	#x2019	CD
;	;	NN
The	the	DT
rights	right	NNS
enshrined	enshrine	VBN
in	in	IN
Article 6(	Article 6(	NNP
15	@card@	CD
)	)	NN
must	must	MD
be	be	VB
respected	respect	VBN
particularly	particularly	RB
when	when	WRB
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
and	and	CC
the	the	DT
Council	Council	NNP
adopt	adopt	NN
laws	law	NNS
and	and	CC
framework	framework	NN
laws	law	NNS
in	in	IN
the	the	DT
area	area	NN
of	of	IN
judicial	judicial	JJ
cooperation	cooperation	NN
in	in	IN
criminal	criminal	JJ
matters	matter	NNS
,	,	,
on	on	IN
the	the	DT
basis	basis	NN
of	of	IN
Articles III-270	Articles III-270	NNP
,	,	,
III-271	III-271	NNP
and	and	CC
III-273	III-273	NNP
of	of	IN
the	the	DT
Constitution	Constitution	NNP
,	,	,
notably	notably	RB
to	to	TO
define	define	VB
common	common	JJ
minimum	minimum	JJ
provisions	provision	NNS
as	as	IN
regards	regard	VBG
the	the	DT
categorisation	categorization	NN
of	of	IN
offences	offence	NNS
and	and	CC
punishments	punishment	NNS
and	and	CC
certain	certain	JJ
aspects	aspect	NNS
of	of	IN
procedural	procedural	JJ
law	law	NN
.	.	.
16	@card@	CD
)	)	)
Respect	respect	NN
for	for	IN
private	private	JJ
and	and	CC
family	family	NN
life	life	NN
Everyone	Everyone	NNP
has	have	VBZ
the	the	DT
right	right	NN
to	to	TO
respect	respect	VB
for	for	IN
his	his	NNS
or	or	CC
her	her	PRP$
private	private	NN
and	and	CC
family	family	NN
life	life	NN
,	,	,
home	home	NN
and	and	CC
communications	communication	NNS
.	.	.
Explanation	explanation	NNP
The	the	DT
rights	right	NNS
guaranteed	guarantee	VBN
in	in	IN
Article 7(	Article 7(	NNP
16	@card@	CD
)	)	NN
correspond	correspond	NN
to	to	TO
those	those	DT
guaranteed	guarantee	VBN
by	by	IN
Article 8	Article 8	NNP
of	of	IN
the	the	DT
ECHR	ECHR	NNP
.	.	.
To	To	TO
take	take	VB
account	account	NN
of	of	IN
developments	development	NNS
in	in	IN
technology	technology	NN
the	the	DT
word	word	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	NN
correspondence	correspondence	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	:
#x2019	#x2019	CD
;	;	NN
has	have	VBZ
been	be	VBN
replaced	replace	VBN
by	by	IN
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	NN
communications	communication	NNS
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2019	#x2019	CD
;	;	NN
.	.	.
In	in	IN
accordance	accordance	NN
with	with	IN
Article 52(3)(	Article 52(3)(	NNP
17	@card@	CD
)	)	NN
,	,	,
the	the	DT
meaning	meaning	NN
and	and	CC
scope	scope	NN
of	of	IN
this	this	DT
right	right	NN
are	be	VBP
the	the	DT
same	same	JJ
as	as	IN
those	those	NN
of	of	IN
the	the	DT
corresponding	corresponding	JJ
article	article	NN
of	of	IN
the	the	DT
ECHR	ECHR	NNP
.	.	.
Consequently	consequently	RB
,	,	,
the	the	DT
limitations	limitation	NNS
which	which	WDT
may	may	MD
legitimately	legitimately	RB
be	be	VB
imposed	impose	VBN
on	on	IN
this	this	DT
right	right	NN
are	be	VBP
the	the	DT
same	same	JJ
as	as	IN
those	those	DT
allowed	allow	VBN
by	by	IN
Article 8	Article 8	CD
of	of	IN
the	the	DT
ECHR	ECHR	NNP
:	:	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	NN
1.	@ord@	CD
Everyone	Everyone	NNP
has	have	VBZ
the	the	DT
right	right	NN
to	to	TO
respect	respect	VB
for	for	IN
his	his	PRP$
private	private	JJ
and	and	CC
family	family	NN
life	life	NN
,	,	,
his	his	PRP$
home	home	NN
and	and	CC
his	his	PRP$
correspondence	correspondence	NN
.	.	.
2.	@ord@	CD
There	There	EX
shall	shall	MD
be	be	VB
no	no	DT
interference	interference	NN
by	by	IN
a	a	DT
public	public	JJ
authority	authority	NN
with	with	IN
the	the	DT
exercise	exercise	NN
of	of	IN
this	this	DT
right	right	NN
except	except	IN
such	such	JJ
as	as	NNS
is	be	VBZ
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
law	law	NN
and	and	CC
is	be	VBZ
necessary	necessary	JJ
in	in	IN
a	a	DT
democratic	democratic	JJ
society	society	NN
in	in	IN
the	the	DT
interests	interest	NNS
of	of	IN
national	national	JJ
security	security	NN
,	,	,
public	public	JJ
safety	safety	NN
or	or	CC
the	the	DT
economic	economic	JJ
well-being	well-being	NN
of	of	IN
the	the	DT
country	country	NN
,	,	,
for	for	IN
the	the	DT
prevention	prevention	NN
of	of	IN
disorder	disorder	NN
or	or	CC
crime	crime	NN
,	,	,
for	for	IN
the	the	DT
protection	protection	NN
of	of	IN
health	health	NN
or	or	CC
morals	moral	NNS
,	,	,
or	or	CC
for	for	IN
the	the	DT
protection	protection	NN
of	of	IN
the	the	DT
rights	right	NNS
and	and	CC
freedoms	freedom	NNS
of	of	IN
others.	others.	JJ
&amp; amp; amp	&amp; amp; amp	NN
;	;	:
#x2019	#x2019	CD
;	;	NN
18	@card@	CD
)	)	)
Protection	protection	NN
of	of	IN
personal	personal	JJ
data	datum	NNS
1.	@ord@	CD
Everyone	Everyone	NNP
has	have	VBZ
the	the	DT
right	right	NN
to	to	TO
the	the	DT
protection	protection	NN
of	of	IN
personal	personal	JJ
data	datum	NN
concerning	concern	VBG
him	him	NN
or	or	CC
her.2	her.2	CD
.	.	.
Such	such	JJ
data	datum	NNS
must	must	MD
be	be	VB
processed	process	VBN
fairly	fairly	RB
for	for	IN
specified	specified	JJ
purposes	purpose	NNS
and	and	CC
on	on	IN
the	the	DT
basis	basis	NN
of	of	IN
the	the	DT
consent	consent	NN
of	of	IN
the	the	DT
person	person	NN
concerned	concern	VBN
or	or	CC
some	some	DT
other	other	JJ
legitimate	legitimate	JJ
basis	basis	NNS
laid	lay	VBN
down	down	IN
by	by	IN
law	law	NN
.	.	.
Everyone	Everyone	NNP
has	have	VBZ
the	the	DT
right	right	NN
of	of	IN
access	access	NN
to	to	TO
data	datum	NNS
which	which	WDT
has	have	VBZ
been	be	VBN
collected	collect	VBN
concerning	concern	VBG
him	him	NN
or	or	CC
her	her	NN
,	,	,
and	and	CC
the	the	DT
right	right	NN
to	to	TO
have	have	VB
it	it	PRP
rectified	rectify	VBD
.	.	.
3.	@ord@	CD
Compliance	compliance	NN
with	with	IN
these	these	DT
rules	rule	NNS
shall	shall	MD
be	be	VB
subject	subject	JJ
to	to	TO
control	control	NN
by	by	IN
an	an	DT
independent	independent	JJ
authority	authority	NN
.	.	.
Explanation	explanation	NNP
This	this	DT
Article	Article	NN
has	have	VBZ
been	be	VBN
based	base	VBN
on	on	IN
Article 286	Article 286	NNP
of	of	IN
the	the	DT
Treaty	Treaty	NN
establishing	establish	VBG
the	the	DT
European	European	NNP
Community	Community	NNP
and	and	CC
Directive 95/46/EC	Directive 95/46/EC	CD
of	of	IN
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
and	and	CC
of	of	IN
the	the	DT
Council	Council	NNP
on	on	IN
the	the	DT
protection	protection	NN
of	of	IN
individuals	individual	NNS
with	with	IN
regard	regard	NN
to	to	TO
the	the	DT
processing	processing	NN
of	of	IN
personal	personal	JJ
data	datum	NNS
and	and	CC
on	on	IN
the	the	DT
free	free	JJ
movement	movement	NN
of	of	IN
such	such	JJ
data	datum	NNS
(	(	(
OJ	OJ	NNP
L 281	L 281	NNP
,	,	,
23.11.1995	@card@	CD
)	)	)
as	as	RB
well	well	RB
as	as	IN
on	on	IN
Article 8	Article 8	CD
of	of	IN
the	the	DT
ECHR	ECHR	NNP
and	and	CC
on	on	IN
the	the	DT
Council	Council	NNP
of	of	IN
Europe	Europe	NNP
Convention	Convention	NNP
of	of	IN
28 January	28 January	JJ
1981	@card@	CD
for	for	IN
the	the	DT
Protection	protection	NNP
of	of	IN
Individuals	individual	JJ
with	with	IN
regard	regard	NN
to	to	TO
Automatic	Automatic	NNP
Processing	Processing	NNP
of	of	IN
Personal	Personal	NNP
Data	Data	NNP
,	,	,
which	which	WDT
has	have	VBZ
been	be	VBN
ratified	ratify	VBN
by	by	IN
all	all	DT
the	the	DT
Member	Member	NNP
States	States	NNP
.	.	.
Article 286	Article 286	CD
of	of	IN
the	the	DT
EC	EC	NNP
Treaty	Treaty	NNP
is	be	VBZ
now	now	RB
replaced	replace	VBN
by	by	IN
Article I-51	Article I-51	CD
of	of	IN
the	the	DT
Constitution	Constitution	NNP
.	.	.
Reference	reference	NNP
is	be	VBZ
also	also	RB
made	make	VBN
to	to	NNP
Regulation	Regulation	NNP
(	(	(
EC	EC	NNP
)	)	)
No 45/2001	No 45/2001	CD
of	of	IN
the	the	DT
European	European	NNP
Parliament	Parliament	NNP
and	and	CC
of	of	IN
the	the	DT
Council	Council	NNP
on	on	IN
the	the	DT
protection	protection	NN
of	of	IN
individuals	individual	NNS
with	with	IN
regard	regard	NN
to	to	TO
the	the	DT
processing	processing	NN
of	of	IN
personal	personal	JJ
data	datum	NNS
by	by	IN
the	the	DT
Community	Community	NN
institutions	institution	NNS
and	and	CC
bodies	body	NNS
and	and	CC
on	on	IN
the	the	DT
free	free	JJ
movement	movement	NN
of	of	IN
such	such	JJ
data	datum	NNS
(	(	(
OJ	OJ	NNP
L 8	L 8	NNP
,	,	,
12.1.2001	@card@	CD
).	).	NN
The	the	DT
abovementioned	abovementioned	JJ
Directive	directive	NNP
and	and	CC
Regulation	Regulation	NNS
contain	contain	VBP
conditions	condition	NNS
and	and	CC
limitations	limitation	NNS
for	for	IN
the	the	DT
exercise	exercise	NN
of	of	IN
the	the	DT
right	right	NN
to	to	TO
the	the	DT
protection	protection	NN
of	of	IN
personal	personal	JJ
data	datum	NNS
.	.	.
19	@card@	CD
)	)	)
Right	right	NNP
to	to	NNP
marry	marry	NN
and	and	CC
right	right	NN
to	to	TO
found	find	VB
a	a	DT
family	family	NN
The	the	DT
right	right	NN
to	to	TO
marry	marry	VB
and	and	CC
the	the	DT
right	right	NN
to	to	TO
found	find	VB
a	a	DT
family	family	NN
shall	shall	MD
be	be	VB
guaranteed	guarantee	VBN
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
national	national	JJ
laws	law	NNS
governing	govern	VBP
the	the	DT
exercise	exercise	NN
of	of	IN
these	these	DT
rights	right	NNS
.	.	.
Explanation	explanation	NNP
This	this	DT
Article	article	NN
is	be	VBZ
based	base	VBN
on	on	IN
Article 12	Article 12	NNP
of	of	IN
the	the	DT
ECHR	ECHR	NNP
,	,	,
which	which	WDT
reads	read	VBZ
as	as	IN
follows	follow	VBZ
:	:	:
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	NN
Men	man	NNP
and	and	CC
women	woman	NNS
of	of	IN
marriageable	marriageable	JJ
age	age	NN
have	have	VBP
the	the	DT
right	right	NN
to	to	TO
marry	marry	VB
and	and	CC
to	to	TO
found	find	VB
a	a	DT
family	family	NN
according	accord	NN
to	to	TO
the	the	DT
national	national	JJ
laws	law	NNS
governing	govern	VBP
the	the	DT
exercising	exercise	NN
of	of	IN
this	this	DT
right.	right.	NN
&amp; amp; amp	&amp; amp; amp	NN
;	;	:
#x2019	#x2019	CD
;	;	:
The	the	DT
wording	wording	NN
of	of	IN
the	the	DT
Article	Article	NN
has	have	VBZ
been	be	VBN
modernised	modernize	VBN
to	to	TO
cover	cover	VB
cases	case	NNS
in	in	IN
which	which	JJ
national	national	JJ
legislation	legislation	NN
recognises	recognize	VBG
arrangements	arrangement	NNS
other	other	JJ
than	than	IN
marriage	marriage	NN
for	for	IN
founding	found	VBG
a	a	DT
family	family	NN
.	.	.
This	this	DT
Article	article	NN
neither	neither	CC
prohibits	prohibit	NNS
nor	nor	CC
imposes	impose	VBZ
the	the	DT
granting	grant	NN
of	of	IN
the	the	DT
status	status	NN
of	of	IN
marriage	marriage	NN
to	to	TO
unions	union	NNS
between	between	IN
people	people	NNS
of	of	IN
the	the	DT
same	same	JJ
sex	sex	NN
.	.	.
This	this	DT
right	right	NN
is	be	VBZ
thus	thus	RB
similar	similar	JJ
to	to	TO
that	that	DT
afforded	afford	VBN
by	by	IN
the	the	DT
ECHR	ECHR	NNP
,	,	,
but	but	CC
its	its	PRP$
scope	scope	NN
may	may	MD
be	be	VB
wider	wide	JJ
when	when	JJ
national	national	JJ
legislation	legislation	NN
so	so	RB
provides	provide	VBZ
.	.	.
20	@card@	CD
)	)	)
Freedom	freedom	NN
of	of	IN
thought	thought	NN
,	,	,
conscience	conscience	NN
and	and	CC
religion	religion	NN
1.	@ord@	CD
Everyone	Everyone	NNP
has	have	VBZ
the	the	DT
right	right	NN
to	to	TO
freedom	freedom	NN
of	of	IN
thought	thought	NN
,	,	,
conscience	conscience	NN
and	and	CC
religion	religion	NN
.	.	.
This	this	DT
right	right	NN
includes	include	VBZ
freedom	freedom	NN
to	to	TO
change	change	NN
religion	religion	NN
or	or	CC
belief	belief	NN
and	and	CC
freedom	freedom	NN
,	,	,
either	either	RB
alone	alone	RB
or	or	CC
in	in	IN
community	community	NN
with	with	IN
others	other	NNS
and	and	CC
in	in	IN
public	public	JJ
or	or	NN
in	in	IN
private	private	JJ
,	,	NN
to	to	TO
manifest	manifest	JJ
religion	religion	NN
or	or	CC
belief	belief	NN
,	,	,
in	in	IN
worship	worship	NN
,	,	,
teaching	teaching	NN
,	,	,
practice	practice	NN
and	and	CC
observance	observance	NN
.	.	.
2.	@ord@	CD
The	the	DT
right	right	NN
to	to	TO
conscientious	conscientious	JJ
objection	objection	NN
is	be	VBZ
recognised	recognize	VBN
,	,	,
in	in	IN
accordance	accordance	NN
with	with	IN
the	the	DT
national	national	JJ
laws	law	NNS
governing	govern	VBP
the	the	DT
exercise	exercise	NN
of	of	IN
this	this	DT
right	right	NN
.	.	.
Explanation	explanation	NNP
The	the	DT
right	right	NN
guaranteed	guarantee	VBD
in	in	IN
paragraph 1	paragraph 1	CD
corresponds	correspond	NNS
to	to	TO
the	the	DT
right	right	NN
guaranteed	guarantee	VBN
in	in	IN
Article 9	Article 9	NNP
of	of	IN
the	the	DT
ECHR	ECHR	NNP
and	and	CC
,	,	NN
in	in	IN
accordance	accordance	NN
with	with	IN
Article 52(3	Article 52(3	CD
)	)	NN
of	of	IN
the	the	DT
Charter(	Charter(	NNP
21	@card@	CD
)	)	NN
,	,	,
has	have	VBZ
the	the	DT
same	same	JJ
meaning	meaning	NN
and	and	CC
scope	scope	NN
.	.	.
Limitations	limitation	NNS
must	must	MD
therefore	therefore	RB
respect	respect	VB
Article 9(2	Article 9(2	CD
)	)	NN
of	of	IN
the	the	DT
Convention	convention	NNP
,	,	,
which	which	WDT
reads	read	VBZ
as	as	IN
follows	follow	VBZ
:	:	:
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	NN
Freedom	freedom	NNP
to	to	TO
manifest	manifest	VB
one's	one's	JJ
religion	religion	NN
or	or	CC
beliefs	belief	NNS
shall	shall	MD
be	be	VB
subject	subject	JJ
only	only	JJ
to	to	TO
such	such	JJ
limitations	limitation	NNS
as	as	NNS
are	be	VBP
prescribed	prescribe	VBN
by	by	IN
law	law	NN
and	and	CC
are	be	VBP
necessary	necessary	JJ
in	in	IN
a	a	DT
democratic	democratic	JJ
society	society	NN
in	in	IN
the	the	DT
interests	interest	NNS
of	of	IN
public	public	NN
safety	safety	NN
,	,	,
for	for	IN
the	the	DT
protection	protection	NN
of	of	IN
public	public	JJ
order	order	NN
,	,	,
health	health	NN
or	or	CC
morals	moral	NNS
,	,	,
or	or	CC
for	for	IN
the	the	DT
protection	protection	NN
of	of	IN
the	the	DT
rights	right	NNS
and	and	CC
freedoms	freedom	NNS
of	of	IN
others.	others.	JJ
&amp; amp; amp	&amp; amp; amp	NN
;	;	:
#x2019	#x2019	CD
;	;	NN
The	the	DT
right	right	NN
guaranteed	guarantee	VBD
in	in	IN
paragraph 2	paragraph 2	CD
corresponds	correspond	NNS
to	to	TO
national	national	JJ
constitutional	constitutional	JJ
traditions	tradition	NNS
and	and	CC
to	to	TO
the	the	DT
development	development	NN
of	of	IN
national	national	JJ
legislation	legislation	NN
on	on	IN
this	this	DT
issue	issue	NN
.	.	.
22	@card@	CD
)	)	)
Freedom	freedom	NN
of	of	IN
expression	expression	NN
and	and	CC
information	information	NN
1.	@ord@	CD
Everyone	Everyone	NNP
has	have	VBZ
the	the	DT
right	right	NN
to	to	TO
freedom	freedom	NN
of	of	IN
expression	expression	NN
.	.	.
This	this	DT
right	right	NN
shall	shall	MD
include	include	VB
freedom	freedom	NN
to	to	TO
hold	hold	VB
opinions	opinion	NNS
and	and	CC
to	to	TO
receive	receive	VB
and	and	CC
impart	impart	JJ
information	information	NN
and	and	CC
ideas	idea	NNS
without	without	IN
interference	interference	NN
by	by	IN
public	public	JJ
authority	authority	NN
and	and	CC
regardless	regardless	NN
of	of	IN
frontiers	frontier	NNS
.	.	.
2.	@ord@	CD
The	the	DT
freedom	freedom	NN
and	and	CC
pluralism	pluralism	NN
of	of	IN
the	the	DT
media	medium	NNS
shall	shall	MD
be	be	VB
respected	respect	VBN
.	.	.
Explanation	explanation	NNP
1.	@ord@	CD
22	@card@	CD
)	)	NN
corresponds	correspond	VBZ
to	to	TO
Article 10	Article 10	CD
of	of	IN
the	the	DT
European	European	JJ
Convention	convention	NNP
on	on	IN
Human Rights	Human Rights	NNP
,	,	,
which	which	WDT
reads	read	VBZ
as	as	IN
follows	follow	VBZ
:	:	:
&amp; amp; amp	&amp; amp; amp	NN
;	;	NN
#x2018	#x2018	CD
;	;	NN
1.	@ord@	CD
Everyone	Everyone	NNP
has	have	VBZ
the	the	DT
right	right	NN
to	to	TO
freedom	freedom	NN
of	of	IN
expression	expression	NN
.	.	.
This	this	DT
right	right	NN
shall	shall	MD
include	include	VB
freedom	freedom	NN
to	to	TO
hold	hold	VB
opinions	opinion	NNS
and	and	CC
to	to	TO
receive	receive	VB
and	and	CC
impart	impart	JJ
information	information	NN
and	and	CC
ideas	idea	NNS
without	without	IN
interference	interference	NN
by	by	IN
public	public	JJ
authority	authority	NN
and	and	CC
regardless	regardless	NN
of	of	IN
frontiers	frontier	NNS
.	.	.
This	this	DT
Article	Article	NN
shall	shall	MD
not	not	RB
prevent	prevent	VB
States	States	NNP
from	from	IN
requiring	require	VBG
the	the	DT
licensing	licensing	NN
of	of	IN
broadcasting	broadcasting	NN
,	,	,
television	television	NN
or	or	CC
cinema	cinema	NN
enterprises	enterprise	NNS
.	.	.
2.	@ord@	CD
The	the	DT
exercise	exercise	NN
of	of	IN
these	these	DT
freedoms	freedom	NNS
,	,	,
since	since	IN
it	it	PRP
carries	carry	VBZ
with	with	IN
it	it	JJ
duties	duty	NNS
and	and	CC
responsibilities	responsibility	NNS
,	,	,
may	may	MD
be	be	VB
subject	subject	JJ
to	to	TO
such	such	JJ
formalities	formality	NNS
,	,	,
conditions	condition	NNS
,	,	,
restrictions	restriction	NNS
or	or	CC
penalties	penalty	NNS
as	as	NNS
are	be	VBP
prescribed	prescribe	VBN
by	by	IN
law	law	NN
and	and	CC
are	be	VBP
necessary	necessary	JJ
in	in	IN
a	a	DT
democratic	democratic	JJ
society	society	NN
,	,	,
in	in	IN
the	the	DT
interests	interest	NNS
of	of	IN
national	national	JJ
security	security	NN
,	,	,
territorial	territorial	NN
integrity	integrity	NN
or	or	CC
public	public	JJ
safety	safety	NN
,	,	,
for	for	IN
the	the	DT
